timestep,pop,avg_viruses
0,200,0
1,200,0
2,200,0
3,200,0
4,200,0
5,200,0
6,200,0
7,200,0
8,200,0
9,200,0
10,200,0
11,200,0
12,200,0
13,200,0
14,200,0
15,200,0
16,200,0
17,200,0
18,200,0
19,200,0
20,200,0
21,200,0
22,200,0
23,200,0
24,200,0
25,200,0
26,200,0
27,200,0
28,200,0
29,200,0
30,200,0.005
31,200,0.005
32,200,0.01
33,200,0.015
34,200,0.015
35,200,0.015
36,200,0.035
37,200,0.075
38,200,0.11
39,200,0.22
40,200,0.275
41,200,0.395
42,199,0.467337
43,198,0.494949
44,196,0.454082
45,193,0.0777202
46,193,0.0777202
47,193,0.0725389
48,193,0.0725389
49,193,0.0673575
50,193,0.0673575
51,193,0.0673575
52,193,0.0673575
53,193,0.0673575
54,193,0.0673575
55,193,0.0673575
56,193,0.0673575
57,193,0.0673575
58,193,0.0673575
59,193,0.0621762
60,193,0.0569948
61,193,0.0569948
62,193,0.0518135
63,193,0.0518135
64,193,0.0518135
65,193,0.0518135
66,193,0.0518135
67,193,0.0518135
68,193,0.0518135
69,193,0.0518135
70,193,0.0518135
71,193,0.0518135
72,193,0.0466321
73,193,0.0466321
74,192,0.00520833
75,192,0.00520833
76,192,0.00520833
77,192,0.00520833
78,192,0.00520833
79,192,0.00520833
80,192,0.00520833
81,192,0.00520833
82,192,0.00520833
83,192,0.00520833
84,192,0.00520833
85,192,0.00520833
86,192,0.00520833
87,192,0.00520833
88,192,0.00520833
89,192,0.00520833
90,192,0.00520833
91,192,0.00520833
92,192,0.00520833
93,192,0.00520833
94,192,0.00520833
95,192,0
96,192,0
97,192,0
98,192,0
99,192,0
100,192,0
101,192,0
102,192,0
103,192,0
104,192,0
105,192,0
106,192,0
107,192,0
108,192,0
109,192,0
110,192,0
111,192,0
112,192,0
113,192,0
114,192,0
115,192,0
116,192,0
117,192,0
118,192,0
119,192,0
120,192,0
121,192,0
122,192,0
123,192,0
124,192,0
125,192,0
126,192,0
127,192,0
128,192,0
129,192,0
130,192,0
131,192,0
132,192,0
133,192,0
134,192,0
135,192,0
136,192,0
137,192,0
138,192,0
139,192,0
140,192,0
141,192,0
142,192,0
143,192,0
144,192,0
145,192,0
146,192,0
147,192,0
148,192,0
149,192,0
150,192,0
151,192,0
152,192,0
153,192,0
154,192,0
155,192,0
156,192,0
157,192,0
158,192,0
159,192,0
160,192,0
161,192,0
162,192,0
163,192,0
164,192,0
165,192,0
166,192,0
167,192,0
168,192,0
169,192,0
170,192,0
171,192,0
172,192,0
173,192,0
174,192,0
175,192,0
176,192,0
177,192,0
178,192,0
179,192,0
180,192,0
181,192,0
182,192,0
183,192,0
184,192,0
185,192,0
186,192,0
187,192,0
188,192,0
189,192,0
190,192,0
191,192,0
192,192,0
193,192,0
194,192,0
195,192,0
196,192,0
197,192,0
198,192,0
199,192,0
200,192,0
201,192,0
202,192,0
203,192,0
204,192,0
205,192,0
206,192,0
207,192,0
208,192,0
209,192,0
210,192,0
211,192,0
212,192,0
213,192,0
214,192,0
215,192,0
216,192,0
217,192,0
218,192,0
219,192,0
220,192,0
221,192,0
222,192,0
223,192,0
224,192,0
225,192,0
226,192,0
227,192,0
228,192,0
229,192,0
230,192,0
231,192,0
232,192,0
233,192,0
234,192,0
235,192,0
236,192,0
237,192,0
238,192,0
239,192,0
240,192,0
241,192,0
242,192,0
243,192,0
244,192,0
245,192,0
246,192,0
247,192,0
248,192,0
249,192,0
250,192,0
251,192,0
252,192,0
253,192,0
254,192,0
255,192,0
256,192,0
257,192,0
258,192,0
259,192,0
260,192,0
261,192,0
262,192,0
263,192,0
264,192,0
265,192,0
266,192,0
267,192,0
268,192,0
269,192,0
270,192,0
271,192,0
272,192,0
273,192,0
274,192,0
275,192,0
276,192,0
277,192,0
278,192,0
279,192,0
280,192,0
281,192,0
282,192,0
283,192,0
284,192,0
285,192,0
286,192,0
287,192,0
288,192,0
289,192,0
290,192,0
291,192,0
292,192,0
293,192,0
294,192,0
295,192,0
296,192,0
297,192,0
298,192,0
299,192,0
300,192,0
301,192,0
302,192,0
303,192,0
304,192,0
305,192,0
306,192,0
307,192,0
308,192,0
309,192,0
310,192,0
311,192,0
312,192,0
313,192,0
314,192,0
315,192,0
316,192,0
317,192,0
318,192,0
319,192,0
320,192,0
321,192,0
322,192,0
323,192,0
324,192,0
325,192,0
326,192,0
327,192,0
328,192,0
329,192,0
330,192,0
331,192,0
332,192,0
333,192,0
334,192,0
335,192,0
336,192,0
337,192,0
338,192,0
339,192,0
340,192,0
341,192,0
342,192,0
343,192,0
344,192,0
345,192,0
346,192,0
347,192,0
348,192,0
349,192,0
350,192,0
351,192,0
352,192,0
353,192,0
354,192,0
355,192,0
356,192,0
357,192,0
358,192,0
359,192,0
360,192,0
361,192,0
362,192,0
363,192,0
364,192,0
365,192,0
366,192,0
367,192,0
368,192,0
369,192,0
370,192,0
371,192,0
372,192,0
373,192,0
374,192,0
375,192,0
376,192,0
377,192,0
378,192,0
379,192,0
380,192,0
381,192,0
382,192,0
383,192,0
384,192,0
385,192,0
386,192,0
387,192,0
388,192,0
389,192,0
390,192,0
391,192,0
392,192,0
393,192,0
394,192,0
395,192,0
396,192,0
397,192,0
398,192,0
399,192,0
400,192,0
401,192,0
402,192,0
403,192,0
404,192,0
