timestep,pop,avg_viruses
0,200,0
1,200,0
2,200,0.005
3,200,0.005
4,200,0.005
5,200,0.005
6,200,0.02
7,200,0.02
8,200,0.04
9,200,0.075
10,200,0.12
11,200,0.175
12,200,0.235
13,198,0.277778
14,197,0.324873
15,197,0.360406
16,196,0.392857
17,195,0.45641
18,194,0.484536
19,192,0.541667
20,189,0.592593
21,187,0.641711
22,184,0.679348
23,180,0.711111
24,178,0.735955
25,176,0.784091
26,175,0.822857
27,174,0.83908
28,170,0.852941
29,169,0.893491
30,167,0.88024
31,166,0.903614
32,165,0.90303
33,162,0.932099
34,159,0.937107
35,159,0.937107
36,159,0.930818
37,158,0.924051
38,157,0.904459
39,157,0.917197
40,156,0.916667
41,156,0.923077
42,156,0.910256
43,154,0.896104
44,154,0.896104
45,153,0.895425
46,152,0.901316
47,151,0.880795
48,150,0.886667
49,150,0.886667
50,150,0.9
51,148,0.885135
52,148,0.891892
53,147,0.884354
54,147,0.891156
55,147,0.911565
56,146,0.910959
57,146,0.917808
58,144,0.909722
59,143,0.937063
60,141,0.93617
61,140,0.914286
62,139,0.913669
63,138,0.913043
64,136,0.919118
65,136,0.897059
66,135,0.896296
67,135,0.903704
68,135,0.896296
69,134,0.895522
70,134,0.932836
71,133,0.932331
72,133,0.93985
73,132,0.931818
74,132,0.909091
75,132,0.909091
76,131,0.900763
77,131,0.89313
78,128,0.90625
79,128,0.90625
80,127,0.897638
81,125,0.928
82,123,0.934959
83,120,0.95
84,120,0.941667
85,120,0.916667
86,116,0.913793
87,116,0.931034
88,115,0.930435
89,115,0.930435
90,115,0.921739
91,114,0.912281
92,114,0.947368
93,114,0.921053
94,114,0.921053
95,114,0.938596
96,112,0.955357
97,111,0.954955
98,111,0.954955
99,109,0.963303
100,109,0.944954
101,109,0.926606
102,107,0.915888
103,107,0.943925
104,107,0.943925
105,106,0.943396
106,104,0.932692
107,104,0.942308
108,104,0.951923
109,104,0.971154
110,103,0.951456
111,103,0.951456
112,100,0.96
113,100,0.92
114,99,0.939394
115,98,0.938776
116,97,0.927835
117,96,0.90625
118,95,0.926316
119,94,0.968085
120,93,0.946237
121,92,0.978261
122,92,0.945652
123,92,0.934783
124,92,0.934783
125,92,0.945652
126,90,0.944444
127,90,0.944444
128,90,0.944444
129,90,0.922222
130,90,0.933333
131,90,0.933333
132,90,0.922222
133,90,0.933333
134,90,0.933333
135,90,0.944444
136,90,0.933333
137,90,0.933333
138,89,0.898876
139,88,0.931818
140,88,0.897727
141,88,0.897727
142,87,0.908046
143,87,0.885057
144,87,0.885057
145,87,0.885057
146,86,0.918605
147,86,0.918605
148,86,0.872093
149,86,0.895349
150,85,0.882353
151,85,0.894118
152,85,0.882353
153,85,0.870588
154,83,0.891566
155,83,0.939759
156,82,0.939024
157,82,0.926829
158,81,0.938272
159,81,0.938272
160,81,0.938272
161,81,0.975309
162,81,0.975309
163,81,0.975309
164,81,0.987654
165,79,0.974684
166,79,0.962025
167,78,0.948718
168,78,0.923077
169,78,0.910256
170,78,0.884615
171,78,0.884615
172,78,0.884615
173,78,0.910256
174,78,0.923077
175,77,0.922078
176,75,0.933333
177,75,0.933333
178,75,0.96
179,75,0.96
180,75,0.933333
181,75,0.946667
182,75,0.933333
183,74,0.959459
184,74,0.959459
185,74,0.932432
186,74,0.945946
187,72,0.944444
188,70,0.914286
189,70,0.9
190,70,0.9
191,70,0.885714
192,69,0.927536
193,69,0.942029
194,69,0.956522
195,69,0.956522
196,69,0.985507
197,69,0.971014
198,69,0.942029
199,68,0.941176
200,68,0.941176
201,68,0.897059
202,68,0.897059
203,66,0.878788
204,65,0.907692
205,65,0.923077
206,65,0.907692
207,65,0.923077
208,65,0.907692
209,63,0.936508
210,63,0.904762
211,63,0.920635
212,63,0.936508
213,62,0.983871
214,62,0.983871
215,62,0.983871
216,62,0.935484
217,61,0.934426
218,61,0.934426
219,61,0.934426
220,61,0.918033
221,61,0.934426
222,61,0.918033
223,61,0.934426
224,60,0.933333
225,60,0.916667
226,60,0.95
227,60,0.933333
228,59,0.932203
229,59,0.966102
230,59,0.983051
231,59,0.983051
232,59,0.966102
233,59,0.966102
234,58,0.931034
235,58,0.913793
236,57,0.894737
237,55,0.890909
238,54,0.907407
239,53,0.943396
240,53,0.962264
241,53,0.962264
242,52,0.961538
243,52,0.923077
244,52,0.923077
245,52,0.884615
246,52,0.865385
247,52,0.865385
248,52,0.903846
249,52,0.923077
250,52,0.923077
251,52,0.903846
252,52,0.923077
253,51,0.882353
254,50,0.86
255,50,0.84
256,50,0.84
257,50,0.88
258,50,0.9
259,50,0.94
260,49,0.938776
261,49,0.959184
262,49,0.938776
263,49,0.979592
264,49,0.979592
265,47,0.978723
266,45,0.933333
267,45,0.955556
268,45,0.933333
269,45,0.888889
270,45,0.933333
271,45,0.911111
272,45,0.911111
273,44,0.886364
274,44,0.931818
275,44,0.931818
276,44,0.909091
277,44,0.886364
278,44,0.886364
279,43,0.837209
280,43,0.837209
281,42,0.833333
282,42,0.833333
283,42,0.833333
284,42,0.857143
285,42,0.857143
286,42,0.857143
287,42,0.833333
288,42,0.809524
289,41,0.829268
290,41,0.804878
291,40,0.85
292,40,0.85
293,40,0.875
294,40,0.875
295,40,0.875
296,39,0.923077
297,39,0.923077
298,38,0.894737
299,38,0.894737
